date,city,temperature,rainfall,humidity
2010-01-01,Mumbai,29.165561867580813,114.50995505053505,56.96837574824479
2010-01-02,Mumbai,28.087687513885086,110.27898517781006,59.96583887887733
2010-01-03,Mumbai,29.85157374843392,102.14489371589936,57.07029373946527
2010-01-04,Mumbai,31.794083980839247,95.59470502701386,59.8362408878512
2010-01-05,Mumbai,28.471341237927792,109.5611770982593,52.25122263998
2010-01-06,Mumbai,28.662743060575988,107.02790477764054,63.128502485813385
2010-01-07,Mumbai,32.48050608000831,112.55817354725791,62.41018827479817
2010-01-08,Mumbai,31.047657179438467,110.47008118021763,58.660132286924345
2010-01-09,Mumbai,28.764139434772908,115.12479177312179,66.38240475544765
2010-01-10,Mumbai,30.978051528986704,99.78644220983864,68.11371357176235
2010-01-11,Mumbai,29.15543171280752,118.82074195164058,55.726734875020014
2010-01-12,Mumbai,29.339585491545677,108.12913104298258,60.288466104541314
2010-01-13,Mumbai,30.94313967317372,127.41025411637762,60.59271851114681
2010-01-14,Mumbai,26.820167170743908,100.26830479928283,60.07393981457467
2010-01-15,Mumbai,27.383697286135806,125.0202368851381,69.25444011198248
2010-01-16,Mumbai,29.895006516859112,110.13785256064965,64.47003245681809
2010-01-17,Mumbai,29.179162088137243,102.14029295027379,64.44707445105912
2010-01-18,Mumbai,32.017706911753436,104.30877839914545,56.079112671092005
2010-01-19,Mumbai,29.75664846588122,106.43461676882774,69.60248338489342
2010-01-20,Mumbai,28.930621593270548,114.36734645184256,60.55416601761491
2010-01-21,Mumbai,34.868058759606825,115.83863854564615,67.37318559485908
2010-01-22,Mumbai,31.665692827933665,105.3547362473344,68.78137554760443
2010-01-23,Mumbai,32.43169047181192,111.32635626469839,74.5165611040654
2010-01-24,Mumbai,29.62538351963282,133.46734326229782,61.4856577885239
2010-01-25,Mumbai,31.563170577072803,129.7912397793766,53.24631127314221
2010-01-26,Mumbai,33.049601104924044,117.34650447325325,69.5747595747771
2010-01-27,Mumbai,30.700306262559497,113.82691503389432,77.96714274236248
2010-01-28,Mumbai,33.92689874571985,115.10682139426814,75.4657371827542
2010-01-29,Mumbai,32.14606102132027,120.49719493077781,70.6229738786889
2010-01-30,Mumbai,32.934368002013215,104.58534085281526,67.41733007503932
2010-01-31,Mumbai,32.48329621406226,112.68636294132969,74.20903186022863
2010-02-01,Mumbai,37.558712442673375,99.01662748219061,65.60058114878866
2010-02-02,Mumbai,33.99305726590713,120.13238637220178,73.14189227754709
2010-02-03,Mumbai,32.0689312737644,123.045018792056,73.57605705918552
2010-02-04,Mumbai,35.99210738711756,112.16918806573979,76.63508466331675
2010-02-05,Mumbai,32.066315434595964,133.16387583651436,85.41430566363141
2010-02-06,Mumbai,35.08499405961714,105.58414397879949,73.8566135751091
2010-02-07,Mumbai,30.905428453391707,103.61055730135558,69.62471927376502
